year,month,id_region,cliente,division,bl,mercancia,recorrido,importe_transaccion,cantidad_mercancia,kg_c02,arboles,precio_unitario,rendimiento,rendimiento_real,kg_c02_por_recorrido,year_month
2023,1,1003,02125-031,RPF,RPI,G SUPER,203,1202.783202,53.30692913,129.0560754,8.603738362,22.56335568,14.0,5.08,0.635744214,2023_1
2023,1,1003,02125-031,RPF,RPE,BP REGULAR,171,2083.683202,92.82692913,224.7339954,14.98226636,22.44696902,14.0,2.15,1.314233891,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,407,1307.103202,58.00692913,140.4347754,9.362318362,22.53357007,7.0,9.11,0.345048588,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,284,1291.363202,56.98692913,137.9653554,9.197690362,22.66069117,14.0,6.5,0.485793505,2023_1
2023,1,1003,02125-031,RPF,RPI,DIESEL,581,2230.383202,93.30692913,225.8960754,15.05973836,23.90372529,14.0,7.26,0.388805638,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,271,904.0832021,40.14692913,97.19571543,6.479714362,22.5193613,14.0,10.1,0.358655777,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,522,1262.783202,53.30692913,129.0560754,8.603738362,23.68891292,14.0,13.05,0.247233861,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,316,2022.383202,93.30692913,225.8960754,15.05973836,21.67452322,14.0,3.95,0.714860998,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,127,648.4932021,28.78692913,69.69315543,4.646210362,22.5273491,14.0,8.2,0.548765003,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,87,970.0732021,43.40692913,105.0881754,7.005878362,22.34834902,14.0,2.89,1.207910062,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,197,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,2.46,1.146680586,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,360,1453.343202,61.31692913,148.4482854,9.896552362,23.70215245,14.0,7.5,0.412356348,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,310,1261.183202,55.92692913,135.3990954,9.026606362,22.5505534,14.0,7.27,0.436771276,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,273,2048.393202,92.30692913,223.4750754,14.89833836,22.19110983,14.0,3.46,0.81859002,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,363,1398.933202,62.32692913,150.8934954,10.05956636,22.44508468,14.0,7.41,0.41568456,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,265,1141.713202,50.56692913,122.4225354,8.161502362,22.57825859,7.0,7.11,0.461971832,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,280,2259.113202,100.3069291,242.8430754,16.18953836,22.52200542,14.0,3.22,0.867296698,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,159,766.6832021,33.92692913,82.13709543,5.475806362,22.59807244,14.0,7.71,0.516585506,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,241,1054.743202,48.39692913,117.1689654,7.811264362,21.79359767,14.0,6.87,0.48617828,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,352,1213.503202,53.60692913,129.7823754,8.652158362,22.63705871,14.0,8.73,0.36869993,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,520,1508.233202,79.84692913,193.3094154,12.88729436,18.88905708,14.0,7.81,0.371748876,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,77,2070.383202,93.30692913,225.8960754,15.05973836,22.18895447,14.0,0.96,2.933715265,2023_1
2023,1,1003,02125-031,RPF,RPI,DIESEL,279,989.4332021,41.81692913,101.2387854,6.749252362,23.66106796,14.0,9.79,0.36286303,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,606,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,7.58,0.372765801,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,235,1264.733202,58.30692913,141.1610754,9.410738362,21.69095888,14.0,5.22,0.600685427,2023_1
2023,1,1003,02125-031,RPF,RPE,BP REGULAR,206,1538.153202,68.10692913,164.8868754,10.99245836,22.58438637,14.0,3.76,0.800421725,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,181,1508.033202,70.32692913,170.2614954,11.35076636,21.44318287,14.0,3.17,0.940671245,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,49,943.8232021,41.81692913,101.2387854,6.749252362,22.57036137,14.0,1.72,2.066097662,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,196,1648.243202,77.00692913,186.4337754,12.42891836,21.40382977,14.0,3.08,0.951192732,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,618,1703.083202,71.32692913,172.6824954,11.51216636,23.87714181,14.0,10.65,0.279421514,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,99,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,1.24,2.28177854,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,350,1582.583202,73.30692913,177.4760754,11.83173836,21.58845311,14.0,5.83,0.507074501,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,363,1198.783202,53.30692913,129.0560754,8.603738362,22.48831853,14.0,9.08,0.355526379,2023_1
2023,1,1003,02125-031,RPF,RPE,DIESEL,104,2120.213202,87.93692913,212.8953054,14.19302036,24.11061226,14.0,1.39,2.047070245,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,409,1465.783202,77.48692913,187.5958554,12.50639036,18.91652203,14.0,6.37,0.458669573,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,306,1570.583202,73.30692913,177.4760754,11.83173836,21.4247578,14.0,5.1,0.579987175,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,613,1798.563202,75.30692913,182.3180754,12.15453836,23.88310376,14.0,9.89,0.297419373,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,134,699.0632021,30.78692913,74.53515543,4.969010362,22.70649336,14.0,7.67,0.556232503,2023_1
2023,1,1003,02125-031,RPF,RPS,BP REGULAR,385,2012.823202,89.30692913,216.2120754,14.41413836,22.53826463,7.0,5.07,0.561589806,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,193,2362.333202,104.9169291,254.0038854,16.93359236,22.51622519,14.0,2.11,1.316082308,2023_1
2023,1,1003,02125-031,RPF,RPI,DIESEL,68,810.7732021,34.30692913,83.05707543,5.537138362,23.63292847,14.0,3.24,1.22142758,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,451,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,5.64,0.500878216,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,378,1394.363202,73.51692913,177.9844854,11.86563236,18.96655938,14.0,6.28,0.470858427,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,530,1738.583202,73.30692913,177.4760754,11.83173836,23.71649205,14.0,8.83,0.33486052,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,521,1102.633202,51.72692913,125.2308954,8.348726362,21.31642494,14.0,13.56,0.240366402,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,70,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,0.88,3.227086792,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,267,1720.913202,76.83692913,186.0222054,12.40148036,22.39695445,14.0,4.2,0.69671238,2023_1
2023,1,1003,02125-031,RPF,RPS,MAGNA,373,1318.623202,69.30692913,167.7920754,11.18613836,19.02584949,14.0,6.66,0.449844706,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,533,1294.773202,54.30692913,131.4770754,8.765138362,23.84176794,14.0,13.0,0.246673687,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,232,926.0132021,40.76692913,98.69673543,6.579782362,22.71481374,14.0,8.45,0.425416963,2023_1
2023,1,1003,02125-031,RPF,RPS,DIESEL,411,1510.683202,63.30692913,153.2660754,10.21773836,23.86284128,14.0,8.22,0.372910159,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,47,1307.183202,58.80692913,142.3715754,9.491438362,22.22838739,14.0,1.03,3.029182456,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,156,628.1432021,27.52692913,66.64269543,4.442846362,22.81922546,14.0,10.97,0.427196766,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,277,1750.383202,93.30692913,225.8960754,15.05973836,18.75941281,14.0,3.46,0.815509298,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,492,1154.333202,50.79692913,122.9793654,8.198624362,22.72446823,14.0,13.12,0.24995806,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,285,1420.183202,63.30692913,153.2660754,10.21773836,22.43329793,14.0,5.7,0.537775703,2023_1
2023,1,1003,02125-031,RPF,RPI,BP REGULAR,342,1011.323202,44.57692913,107.9207454,7.194716362,22.68714382,14.0,10.94,0.315557735,2023_1
2023,1,1003,02125-031,RPF,RPI,G SUPER,275,1461.123202,64.89692913,157.1154654,10.47436436,22.51451989,14.0,5.33,0.571328965,2023_1
2023,1,1003,02125-031,RPF,RPE,BP REGULAR,149,1298.583202,57.40692913,138.9821754,9.265478362,22.62067004,14.0,3.38,0.932766278,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,211,1811.343202,81.52692913,197.3766954,13.15844636,22.21772881,14.0,3.09,0.935434576,2023_1
2023,1,1003,02125-031,RPF,RPI,MAGNA,321,1091.333202,48.30692913,116.9510754,7.796738362,22.59164931,14.0,9.17,0.364333568,2023_1
